file,ansatz,num_sites,Jz,Energy,Energy_err,Mx,Mx_err,My,My_err,Mz,Mz_err,Szz,Szz_err,Wp,Wp_err,M_total,Cl1,Fidelity
RBM_L3x3_Jz0.0_capas1_Jz0.00_Stage2.mpack,RBM,18,0.0,-0.2853778801855167,0.0019467134750436954,0.9780960200565585,0.058316187921505544,0.12220916964431731,0.0627982575254185,-0.05555555555555553,0.011116535134432034,0.011437908496732036,0.003453398369875595,0.006647986817938771,0.0034037365713667014,0.9872655799473208,7485.466409842924,0.018825137346437693
RBM_L3x3_Jz0.1_capas1_Jz0.10_Stage2.mpack,RBM,18,0.1,-0.2708917863803897,0.0015723906574542322,4.026858053016765,0.24758086510317448,0.3675419594947147,0.10848587461604044,0.006944444444444477,0.010627035196784112,0.00245098039215696,0.00418444415551636,-0.012057084169018129,0.00437824564726406,4.043602489914634,6416.904705037885,0.022671994174444363
RBM_L3x3_Jz0.2_capas1_Jz0.20_Stage2.mpack,RBM,18,0.2,-0.25565241162739366,0.0008771264078687067,0.0011818573108550107,0.03495316356718643,-0.02895434888514367,0.028919408607226717,-0.04166666666666667,0.009801727248816162,-0.00490196078431371,0.002909195166103782,0.002547870577310391,0.002116834364566182,0.05075295279268935,7118.910086690209,0.058128365127090444
RBM_L3x3_Jz0.3_capas1_Jz0.30_Stage2.mpack,RBM,18,0.3,-0.23382227116313306,0.0006775818744717442,0.3965124823261364,0.035991607044255906,-0.23468378695475614,0.024782440180968677,-0.034722222222222314,0.012117850354438988,0.022058823529411804,0.00448053486587306,8.525652363931729e-05,0.0033550917085121913,0.4620652131635852,5407.831872396754,0.04692167969821312
RBM_L3x3_Jz0.4_capas1_Jz0.40_Stage2.mpack,RBM,18,0.4,-0.23277265203226102,0.00048782004729883117,0.2913674856938684,0.004492382786309205,0.0018765303423028052,0.00399443203111652,0.06944444444444421,0.010398566450269915,0.004901960784313738,0.003035511427226686,0.0283476079268588,0.003916936931899119,0.2995347458140536,19105.046324077306,0.0001517973317662707
RBM_L3x3_Jz0.5_capas1_Jz0.50_Stage2.mpack,RBM,18,0.5,-0.23283758838185598,0.004747888251864062,0.8879702375768768,0.05406995143669235,-0.20399174923476673,0.06187501733528232,0.03472222222222223,0.010802845889456287,0.00571895424836605,0.0036104545800835406,-0.31342307643815787,0.12822268058342118,0.9117617064201832,19.805817320089638,3.894963935831715e-06
RBM_L3x3_Jz0.6_capas1_Jz0.60_Stage2.mpack,RBM,18,0.6,-0.24563367994487365,0.011531749920773916,3.2506253214368153,0.6661961710657237,2.389082998588716,0.6450292874733502,-0.0902777777777778,0.010448266594800979,0.008986928104575237,0.003940557908118096,-0.09108904172584228,0.09004331451429644,4.03514964179426,1.0744451855614852,0.002101662037350238
RBM_L3x3_Jz0.7_capas1_Jz0.70_Stage2.mpack,RBM,18,0.7,-0.29700061079291484,0.0025399066008411565,1.8757137564632549,0.4006410532946936,1.4530878397827776,0.49245936316581435,-0.04861111111111109,0.010697706201272777,0.005718954248366013,0.0022417944667601306,0.011778246727749906,0.007635321004821437,2.3732107800264033,4.621463922806712,0.00012416317808204902
RBM_L3x3_Jz0.8_capas1_Jz0.80_Stage2.mpack,RBM,18,0.8,-0.3048826400657547,0.007574821155993681,0.2904291393923659,0.07294070844843459,0.8569293296555568,0.07413139495565355,-0.027777777777777818,0.00859331157691985,-0.017973856209150273,0.002071636312816667,-2.2225778170055284,0.6669676807532269,0.9052339841004555,0.8563616042752613,0.0007369916923598033
RBM_L3x3_Jz0.9_capas1_Jz0.90_Stage2.mpack,RBM,18,0.9,-0.3820887995274169,0.002993454451799966,-0.03080044523931197,0.06243600462690623,0.27126607463410624,0.0516337377789203,-0.09027777777777797,0.008543845349405178,-0.010620915032679682,0.002440052145010287,0.055360904770299826,0.032590777018406264,0.2875483052198886,3.3798838965685354,0.0006332578891629734
RBM_L3x3_Jz1.0_capas1_Jz1.00_Stage2.mpack,RBM,18,1.0,-0.3904215494791667,0.003977700452160903,-0.503174240008489,0.07494939231267529,0.3737486804759785,0.06796026220436184,-0.041666666666666664,0.007131804134181853,-0.029411764705882255,0.0016780715609839654,-10.851821308230862,5.16601969646497,0.6281787190575359,0.7566147466940591,0.011264352319270515
